t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-01-03 05:00:00+00:00,3408.09,3414.07,3323.21,187697,3351.0,3417648,3391.004445,,10000.0
2022-01-04 05:00:00+00:00,3350.44,3428.0,3326.99,216280,3408.76,3801966,3359.18529,,10000.0
2022-01-05 05:00:00+00:00,3287.14,3342.525,3287.14,209499,3337.66,3235413,3310.311227,HOLD,10000.0
2022-01-06 05:00:00+00:00,3265.08,3296.0,3238.7442,187657,3269.01,2780890,3267.746758,HOLD,10000.0
2022-01-07 05:00:00+00:00,3251.08,3304.865,3240.62,156695,3276.78,2523684,3259.203217,HOLD,10000.0
2022-01-10 05:00:00+00:00,3229.72,3233.23,3126.09,288181,3211.71,4727613,3189.221084,HOLD,10000.0
2022-01-11 05:00:00+00:00,3307.24,3327.0,3214.03,170131,3230.0,3360779,3292.533569,HOLD,10000.0
2022-01-12 05:00:00+00:00,3304.14,3337.56,3288.34,138223,3331.5,2740340,3310.917997,HOLD,10000.0
2022-01-13 05:00:00+00:00,3224.28,3324.4299,3221.82,162680,3305.01,2860724,3249.701168,HOLD,10000.0
2022-01-14 05:00:00+00:00,3242.76,3245.0,3196.01,150655,3203.0,2503913,3228.069247,HOLD,10000.0
2022-01-18 05:00:00+00:00,3178.35,3194.6899,3153.29,220227,3182.1,3788315,3175.302171,HOLD,10000.0
2022-01-19 05:00:00+00:00,3125.98,3185.0,3125.0,181590,3175.24,2941151,3145.681049,HOLD,10000.0
2022-01-20 05:00:00+00:00,3033.35,3160.0,3027.02,243973,3135.32,3784471,3088.506091,HOLD,10000.0
2022-01-21 05:00:00+00:00,2852.86,3018.0,2841.408,492004,2999.0,8719494,2910.075683,HOLD,10000.0
2022-01-24 05:00:00+00:00,2890.88,2898.9,2707.04,453082,2780.0,8234944,2818.466829,HOLD,10000.0
2022-01-25 05:00:00+00:00,2799.72,2872.0,2762.9,273099,2844.85,4909768,2806.38459,HOLD,10000.0
2022-01-26 05:00:00+00:00,2777.45,2903.695,2746.37,288712,2895.0,5085411,2815.576454,HOLD,10000.0
2022-01-27 05:00:00+00:00,2792.75,2884.87,2787.0,229027,2816.0,4113533,2821.587004,HOLD,10000.0
2022-01-28 05:00:00+00:00,2879.56,2879.96,2758.585,218864,2817.21,3951038,2832.012469,HOLD,10000.0
2022-01-31 05:00:00+00:00,2991.47,3007.21,2886.0101,235933,2895.0,4313069,2965.016178,HOLD,10000.0
2022-02-01 05:00:00+00:00,3023.87,3034.16,2952.5548,194885,3000.0,3238855,3006.832,HOLD,10000.0
2022-02-02 05:00:00+00:00,3012.25,3101.5,2977.2717,259406,3101.0085,4602906,3026.324072,HOLD,10000.0
2022-02-03 05:00:00+00:00,2776.91,2884.95,2766.66,689531,2834.75,11801350,2809.131851,HOLD,10000.0
