t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-01-03 05:00:00+00:00,334.75,338.0,329.78,395295,335.35,32126045,333.418622,,10000.0
2022-01-04 05:00:00+00:00,329.01,335.2,326.12,517998,334.83,36352727,329.479184,,10000.0
2022-01-05 05:00:00+00:00,316.38,326.07,315.98,640417,325.76,44127998,319.698432,HOLD,10000.0
2022-01-06 05:00:00+00:00,313.88,318.7,311.49,628056,313.15,44158209,314.975866,HOLD,10000.0
2022-01-07 05:00:00+00:00,314.04,316.5,310.09,499018,314.15,36145004,313.817508,HOLD,10000.0
2022-01-10 05:00:00+00:00,314.27,314.72,304.69,692530,309.485,51099073,310.807574,HOLD,10000.0
2022-01-11 05:00:00+00:00,314.98,316.61,309.89,421386,313.38,32897321,314.28662,HOLD,10000.0
2022-01-12 05:00:00+00:00,318.27,323.41,317.08,498640,319.67,38027410,319.372346,HOLD,10000.0
2022-01-13 05:00:00+00:00,304.8,320.88,304.0,712345,320.4658,49579197,309.204615,HOLD,10000.0
2022-01-14 05:00:00+00:00,310.2,310.82,303.75,526562,304.25,43214321,308.16064,HOLD,10000.0
2022-01-18 05:00:00+00:00,302.65,309.8,301.74,658684,304.07,47802517,304.440335,HOLD,10000.0
2022-01-19 05:00:00+00:00,303.33,313.9093,302.7,680165,306.29,49941640,307.828771,HOLD,10000.0
2022-01-20 05:00:00+00:00,301.6,311.6494,301.14,552353,309.07,38682272,306.738745,HOLD,10000.0
2022-01-21 05:00:00+00:00,296.03,304.11,295.61,884541,302.685,65055364,299.292898,HOLD,10000.0
2022-01-24 05:00:00+00:00,296.37,297.11,276.05,1302287,292.2,93118030,289.404795,HOLD,10000.0
2022-01-25 05:00:00+00:00,288.49,294.99,285.17,1113742,291.52,78193565,289.581997,HOLD,10000.0
2022-01-26 05:00:00+00:00,296.71,308.5,293.03,1195380,307.985,95847857,300.289431,HOLD,10000.0
2022-01-27 05:00:00+00:00,299.84,307.3,297.93,741939,302.66,56478310,302.384575,HOLD,10000.0
2022-01-28 05:00:00+00:00,308.26,308.48,294.45,695125,300.23,54397943,303.451196,HOLD,10000.0
2022-01-31 05:00:00+00:00,310.98,312.38,306.37,645246,308.95,53356959,309.694147,HOLD,10000.0
2022-02-01 05:00:00+00:00,308.76,310.63,305.1293,598900,310.41,44965601,307.570108,HOLD,10000.0
2022-02-02 05:00:00+00:00,313.46,315.12,308.88,513104,309.63,39470468,312.309099,HOLD,10000.0
2022-02-03 05:00:00+00:00,301.25,311.23,299.96,585713,309.49,48402035,304.980974,HOLD,10000.0
2022-02-04 05:00:00+00:00,305.94,308.8,299.97,509328,300.21,37947107,305.420779,HOLD,10000.0
2022-02-07 05:00:00+00:00,300.95,307.84,299.9,426624,306.17,32238847,302.985681,HOLD,10000.0
2022-02-08 05:00:00+00:00,304.56,305.561,299.95,423791,301.25,35714176,303.640635,HOLD,10000.0
2022-02-09 05:00:00+00:00,311.21,311.93,307.39,444040,309.865,34926331,309.819903,HOLD,10000.0
2022-02-10 05:00:00+00:00,302.38,309.12,300.7,608485,304.04,50104846,303.927099,HOLD,10000.0
2022-02-11 05:00:00+00:00,295.04,304.29,294.22,613910,303.19,43077167,297.770663,HOLD,10000.0
2022-02-14 05:00:00+00:00,295.0,296.76,291.35,539723,293.77,38805898,294.415058,HOLD,10000.0
2022-02-15 05:00:00+00:00,300.47,300.8,297.02,400819,300.008,31205651,299.711613,HOLD,10000.0
2022-02-16 05:00:00+00:00,299.5,300.87,293.68,415679,298.365,33306198,297.764577,HOLD,10000.0
2022-02-17 05:00:00+00:00,290.73,296.8,290.0,507110,296.36,37154032,292.662479,HOLD,10000.0
2022-02-18 05:00:00+00:00,287.93,293.86,286.305,552468,293.05,39526387,289.187632,HOLD,10000.0
2022-02-22 05:00:00+00:00,287.72,291.54,284.5,605795,285.0,46790637,287.611622,HOLD,10000.0
2022-02-23 05:00:00+00:00,280.34,291.7,280.1,647358,290.18,42792398,283.568617,BUY,10000.0
2022-02-24 05:00:00+00:00,294.59,295.16,271.52,809376,272.51,64099538,286.530545,HOLD,10508.311336234572
2022-02-25 05:00:00+00:00,297.31,297.63,291.655,520418,295.14,35321055,295.861312,HOLD,10605.33637725619
2022-02-28 05:00:00+00:00,298.79,299.14,293.0,452985,294.31,40704283,296.986243,HOLD,10658.12941428266
2022-03-01 05:00:00+00:00,294.95,299.97,292.15,468643,296.4,35235377,295.707572,HOLD,10521.152885781552
2022-03-02 05:00:00+00:00,300.19,301.47,293.698,531575,295.36,35373013,299.028224,HOLD,10708.06877363202
2022-03-03 05:00:00+00:00,295.92,303.13,294.05,408451,302.89,30443320,297.375215,HOLD,10555.753727616468
2022-03-04 05:00:00+00:00,289.86,295.66,287.165,538894,294.29,36046865,290.014986,HOLD,10339.58764357566
2022-03-07 05:00:00+00:00,278.91,289.69,278.53,672967,288.53,48139522,281.378155,BUY,9948.990511521726
2022-03-08 05:00:00+00:00,275.85,283.96,270.0,700055,277.8,52059904,276.595729,BUY,9839.837340372407
2022-03-09 05:00:00+00:00,288.5,289.6,280.78,506110,283.44,39690361,286.620347,HOLD,10291.075123064851
2022-03-10 05:00:00+00:00,285.59,286.6,280.58,461548,283.02,33910716,284.15264,HOLD,10187.272597560106
2022-03-11 05:00:00+00:00,280.07,289.51,279.43,420425,287.96,31971033,282.876979,HOLD,9990.368837839767
2022-03-14 04:00:00+00:00,276.44,285.3992,275.82,435909,280.34,34750943,279.240076,HOLD,9860.883213241066
2022-03-15 04:00:00+00:00,287.15,287.82,278.725,507326,280.35,40177706,284.70329,HOLD,10242.91931226368
2022-03-16 04:00:00+00:00,294.39,294.57,283.2,532833,289.11,43536700,291.387049,HOLD,10501.177142041806
2022-03-17 04:00:00+00:00,295.22,295.61,289.37,434757,293.29,34733544,293.433889,HOLD,10530.784047941786
2022-03-18 04:00:00+00:00,300.43,301.0,292.73,414835,295.37,57222212,297.89715,HOLD,10716.629806663339
2022-03-21 04:00:00+00:00,299.16,300.14,294.9,437236,298.89,32325914,298.087887,HOLD,10671.327673539276
2022-03-22 04:00:00+00:00,304.06,305.0,298.77,404199,299.8,30945746,303.206876,HOLD,10846.11543126204
2022-03-23 04:00:00+00:00,299.49,303.23,297.7201,359921,300.51,29923504,300.363173,HOLD,10683.099093957338
2022-03-24 04:00:00+00:00,304.1,304.2,298.315,318261,299.14,28034545,302.043865,HOLD,10847.542270100594
2022-03-25 04:00:00+00:00,303.68,305.5,299.2855,339737,305.23,25061097,302.684451,HOLD,10832.560462295785
